"text";"screenName";"created"
"Acho que grande parte da parcial imunda mídia e meia dúzia de goelas grandes não gostaram da notícia! Obrigado pela… https://t.co/vJnyy3Dnay";"CarlosBolsonaro";2019-03-03 23:20:53
"Acreditar em qualquer jornal atualmente sem consultar outra fonte é simplesmente dar clique e dinheiro para quem nã… https://t.co/f28Ujfjywx";"CarlosBolsonaro";2019-03-03 20:15:11
"*EDUCAÇÃO: Militantes políticos fracassados x cidadãos preparados. https://t.co/3z1F17iYEv";"CarlosBolsonaro";2019-03-03 17:39:22
"Será que sai no JN? https://t.co/GkUPBFnhuy";"CarlosBolsonaro";2019-03-03 12:10:25
"Use flores, desarme a população e abrace árvores. Tudo se resolve! https://t.co/kHYiiiWn5k";"CarlosBolsonaro";2019-03-03 10:30:11
"Via @odiodobem . O AMOR.... https://t.co/MsnBFt2irc";"CarlosBolsonaro";2019-03-02 22:45:05
"PT, PCdoB e principalmente o PSOL, que teve deputada flagrada em gravação desviando dinheiro de sindicato para seu… https://t.co/JLgSHs56a1";"CarlosBolsonaro";2019-03-02 17:31:18
"Dirimindo outro “erro” da mídia como no ano anterior, divulgando somente nome de outros, “esquecendo-se” de citar n… https://t.co/9qHH9kAcfP";"CarlosBolsonaro";2019-03-02 17:02:37
"Acho bacana identificar quem seriam estes para que saibamos quem querem nos matar! https://t.co/HPQPqavt37";"CarlosBolsonaro";2019-03-02 14:53:47
"Amigos, não faço parte do governo e os senhores sabem disso. Vagabundos, vocês sabem desta informação tambêm, porta… https://t.co/sL4Ow7AMU3";"CarlosBolsonaro";2019-03-02 10:27:22
"“Jornal” pode escrever “diz “leitor”,”revela fonte”, diz amigo”, desinformar.... mas se você como cidadão der uma o… https://t.co/A5CdCU6M55";"CarlosBolsonaro";2019-03-02 10:15:18
"Não é incomum a defesa da pedofilia. Em países islâmicos é permito o casamento entre crianças e adultos e em outros… https://t.co/ImyxHHk45w";"CarlosBolsonaro";2019-03-02 00:02:28
"Equilíbrio e com currículo é o mínimo que se espera de um governo justo e igualitário! https://t.co/Ma44plfVVv";"CarlosBolsonaro";2019-03-01 21:29:05
"O aparelhamento esquerdista do estado é algo tão gigantesco que é extremamente aceitável qualquer ser humano normal… https://t.co/TKNRBdLLUe";"CarlosBolsonaro";2019-03-01 18:42:00
"Liguem os pontinhos... https://t.co/hTPQFSWH1N";"CarlosBolsonaro";2019-03-01 18:14:12
"A grobo torce contra o Brasil junto com os drogados militantes que não representam a maioria. Entretanto subestimar… https://t.co/7dS4FIVeag";"CarlosBolsonaro";2019-03-01 14:33:47
"Em 2017: Relembrando como em posts anteriores, mas “esquecidos” pela mídia quando fazem matéria a meu respeito e in… https://t.co/jxU5lB1y3O";"CarlosBolsonaro";2019-03-01 12:36:19
